Words,Tags
"['В', 'феврале', '2009г', '.']","[0, 0, 0, 0]"
"['В', '2008', 'году', 'он', 'вошел', 'в', 'совет', 'директоров', '""', 'ВТБ', 'Капитала', ""''"", '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0]"
"['Президентом', 'ОАК', 'стал', 'генеральный', 'директор', '""', 'Сухого', ""''"", 'Михаил', 'Погосян', '.']","[0, 3, 0, 0, 0, 0, 3, 0, 6, 5, 0]"
"['Альфа-банк', 'является', 'крупнейшим', 'частным', 'банком', 'России', 'по', 'величине', 'активов', ',', 'собственного', 'капитала', ',', 'кредитному', 'портфелю', 'и', 'счетам', 'клиентов', '.']","[3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Президент', 'РФ', 'Дмитрий', 'Медведев', 'освободил', 'Илью', 'Клебанова', 'с', 'поста', 'полномочного', 'представителя', 'президента', 'в', 'Северо-Западном', 'федеральном', 'округе', '(', 'СЗФО', ')', 'I-LOC', 'в', 'связи', 'с', 'переходом', 'на', 'другую', 'работу', '.']","[0, 1, 6, 5, 0, 6, 5, 0, 0, 0, 0, 0, 0, 1, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['""', 'Думаю', 'пора', 'сажать', 'этого', 'мэра', '...', 'Николайчук', 'не', 'чист', 'как', 'мэр', ""''"", ',', '-', 'пишет', 'один', 'из', 'пользователей', 'соцсетей', '.']","[0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Он', 'также', 'является', 'старшим', 'исследователем', 'в', 'Колумбийском', 'университете', '.']","[0, 0, 0, 0, 0, 0, 3, 2, 0]"
"['По', 'словам', 'Эштон', ',', 'Египет', 'должен', 'начать', 'открытый', 'для', 'всех', 'политический', 'процесс', '.']","[0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Мандела', 'оказал', 'влияние', 'на', 'людей', 'по', 'всему', 'миру', ',', 'заявил', 'Обама', 'Обама', 'находится', 'с', 'визитом', 'в', 'ЮАР', '.']","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 1, 0]"
"['Кстати', ',', 'Ющенко', 'хотел', 'отменить', 'конституционную', 'реформу', 'на', 'том', 'же', 'основании', '.']","[0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Об', 'этом', 'сообщает', '""', 'Интерфакс', ""''"", 'с', 'заседания', 'фракции', '.']","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
"['Теперь', 'Мосгордума', 'не', 'просто', 'лояльна', 'мэру', ',', 'но', 'и', 'демонстрирует', 'изрядное', 'рвение', 'в', 'процессе', 'демонтажа', 'лужковской', 'Москвы', '.']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['В', 'отставку', 'были', 'отправлены', 'начальник', 'управления', 'ФСКН', 'по', 'Новосибирской', 'области', 'генерал-майор', 'полиции', 'Сергей', 'Амелин', ',', 'замруководителя', 'департамента', 'собственной', 'безопасности', 'ФСКН', '-', 'начальник', 'управления', 'внутренней', 'безопасности', 'генерал-майор', 'полиции', 'Сергей', 'Бузинов', 'и', 'первый', 'замруководителя', 'оперативно-разыскного', 'департамента', 'ФСКН', 'генерал-лейтенант', 'полиции', 'Александр', 'Кирушев', '.']","[0, 0, 0, 0, 0, 0, 3, 0, 1, 4, 0, 0, 6, 5, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 6, 5, 0, 0, 0, 0, 0, 3, 0, 0, 6, 5, 0]"
"['Для', 'участников', 'акции', ',', 'которые', 'съезжались', 'туда', 'ещё', 'вечером', '21', 'июня', '(', 'мемориал', 'расположен', 'в', '15', 'км', 'от', 'Брянска', ')', 'вновь', 'была', 'организована', 'культурная', 'программа', ':', 'начиная', 'с', 'полуночи', ',', 'открылся', 'музей', 'партизанского', 'движения', ',', 'на', 'оборудованном', '""', 'привале', ""''"", 'был', 'организован', 'просмотр', 'патриотических', 'фильмов', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['В', 'поддержку', 'программиста-аутиста', 'высказались', 'не', 'только', 'судьи', 'и', 'общественность', ',', 'но', 'даже', 'министр', 'внутренних', 'дел', 'Тереза', 'Мэй', ',', 'которая', 'указала', 'на', 'то', ',', 'что', 'в', 'американской', 'тюрьме', 'Гэри', 'МакКиннан', 'просто', 'не', 'выживет', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 0, 0, 0, 0]"
"['""', 'Я', 'не', 'вижу', 'себя', 'в', 'новом', 'правительстве', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['В', 'ответ', 'на', 'это', 'представитель', 'партии', 'Цвангираи', 'назвал', 'прошедшие', 'выборы', '""', 'фундаментальным', 'мошенничеством', ""''"", 'и', 'сообщил', 'об', 'экстренном', 'созыве', 'совещания', 'руководства', 'партии', '.']","[0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Уверены', 'в', 'том', ',', 'что', 'все', 'зависит', 'от', 'Президента', ',', '32', '%', 'опрошенных', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Премьер', 'отметил', ',', 'что', 'данный', 'бюджет', 'формируется', 'в', 'условиях', 'весьма', 'сложной', 'международной', 'экономической', 'конъюнктуры', 'и', 'в', 'условиях', ',', 'когда', 'правительство', 'пошло', 'на', 'введение', 'жесткого', 'бюджетного', 'правила', 'и', 'собирается', 'несколько', 'иначе', 'расходовать', 'в', 'этой', 'связи', 'нефтегазовые', 'доходы', ',', 'направляя', 'их', 'в', 'соответствующие', 'фонды', 'и', 'в', 'то', 'же', 'время', 'достаточно', 'жестко', 'контролируя', 'все', 'расходы', 'федерального', 'бюджета', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['поднял', 'неудачный', 'мятеж', 'против', 'президента', 'Альберто', 'Фухимори', '.']","[0, 0, 0, 0, 0, 6, 5, 0]"
"['занимал', 'должность', 'командира', 'большим', 'противолодочным', 'кораблем', '""', 'Адмирал', 'Спиридонов', ""''"", ',', 'затем', 'стал', 'заместителем', 'начальника', 'штаба', 'дивизии', ',', 'заместителем', 'командира', 'бригады', ',', 'командиром', 'бригады', 'противолодочных', 'кораблей', ',', 'а', 'с', '2000г', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Временно', 'исполнять', 'обязанности', 'главного', 'редактора', '""', 'Нейтрального', 'Туркменистана', ""''"", 'будет', 'заместитель', 'главного', 'редактора', 'Ирина', 'Столбунова', '.']","[0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 6, 5, 0]"
"['Мандела', 'находится', 'в', 'критическом', 'состоянии', ',', 'и', 'Обама', 'заявлял', 'ранее', ',', 'что', 'не', 'уверен', 'в', 'возможности', 'личной', 'встречи', 'с', 'ним', '.']","[6, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['как', 'акционерный', 'коммерческий', 'Московский', 'муниципальный', 'банк', '-', 'Банк', 'Москвы', ',', 'контрольный', 'пакет', 'акций', 'которого', 'принадлежал', 'правительству', 'Москвы', '.']","[0, 0, 0, 3, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['О', 'незаконности', 'предстоящего', 'голосования', 'объявили', 'также', 'Верховный', 'избирательный', 'трибунал', ',', 'Верховный', 'суд', 'и', 'даже', 'часть', 'членов', 'правительства', '.']","[0, 0, 0, 0, 0, 0, 3, 2, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0]"
"['В', 'мае', '2008г', '.']","[0, 0, 0, 0]"
"['Кроме', 'того', ',', 'банки-держатели', 'греческих', 'суверенных', 'бондов', 'пообещали', 'обменять', 'их', 'на', 'новые', 'с', '50-процентным', 'дисконтом', 'к', 'номинальной', 'стоимости', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['В', 'течение', 'двух', 'лет', 'Агентство', 'национальной', 'безопасности', 'пользовалось', 'программой', 'по', 'отслеживанию', 'электронной', 'переписки', 'американцев', ',', 'пишет', 'британская', 'газета', 'The', 'Guardian', 'со', 'ссылкой', 'на', 'собственные', 'секретные', 'материалы', '.']","[0, 0, 0, 0, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
"['За', 'кресло', 'главы', 'столицы', 'намерены', 'бороться', ',', 'в', 'частности', ',', 'врио', 'мэра', 'Москвы', 'Сергей', 'Собянин', ',', 'кандидата', 'от', 'ЛДПР', 'Михаил', 'Дегтярев', ',', 'КПРФ', '-', 'Иван', 'Мельников', ',', '""', 'Яблока', ""''"", '-', 'Сергей', 'Митрохин', ',', 'московского', 'отделения', 'партии', '""', 'ВОЛЯ', ""''"", '-', 'Светлана', 'Пеунова', ',', 'РПР-ПАРНАС', '-', 'Алексей', 'Навальный', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 5, 0, 0, 0, 3, 6, 5, 0, 3, 0, 6, 5, 0, 0, 3, 0, 0, 6, 5, 0, 0, 0, 0, 0, 3, 0, 0, 6, 5, 0, 3, 0, 6, 5, 0]"
"['Президент', 'РФ', 'назначил', 'полковника', 'Дмитрия', 'Горбатенко', 'начальником', 'управления', 'подготовки', 'войск', 'Западного', 'военного', 'округа', '.']","[0, 1, 0, 0, 6, 5, 0, 0, 0, 0, 1, 4, 4, 0]"
"['Несколько', 'лет', 'назад', 'при', 'похожих', 'обстоятельствах', '(', 'после', 'того', ',', 'как', 'сотрудник', 'полиции', 'сбил', 'на', 'перекрестке', 'нескольких', 'человек', ')', 'ушел', 'в', 'отставку', 'глава', 'МВД', 'Раймондас', 'Шукис', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 5, 0]"
"['-', 'Я', 'хочу', 'подчеркнуть', ',', 'что', 'на', 'сегодняшний', 'день', 'нам', 'надо', 'именно', 'пробиваться', 'в', 'круг', 'создателей', 'новых', ',', 'новаторских', 'технологий', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Они', 'пройдут', '8', 'сентября', '.']","[0, 0, 0, 0, 0]"
"['Сегодня', 'он', 'уволил', '6', 'генералов', 'милиции', '.']","[0, 0, 0, 0, 0, 0, 0]"
"['-', 'Даже', 'если', 'мэром', 'станет', 'Иисус', 'Христос', ',', 'через', 'год', 'его', 'будут', 'называть', 'жуликом', 'и', 'вором', ',', 'а', 'концу', 'срока', 'захотят', 'распять', 'на', 'кресте', ""''"", '.']","[0, 0, 0, 0, 0, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Французские', 'и', 'малийские', 'военные', ',', 'в', 'свою', 'очередь', ',', 'в', 'начале', 'этого', 'года', 'вытеснили', 'экстремистов', 'из', 'крупнейших', 'северных', 'городов', ',', 'однако', 'НДОА', 'установило', 'в', 'городе', 'Кидаль', 'свое', 'правительство', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0]"
"['Официально', 'о', 'дальнейшей', 'судьбе', 'прокурора', 'пока', 'не', 'сообщается', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['На', 'этом', 'фоне', 'курс', 'рубля', 'к', 'доллару', 'и', 'евро', 'после', 'нескольких', 'дней', 'роста', 'вновь', 'начал', 'падать', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['""', 'Россия', 'готовится', 'к', 'большой', 'мировой', 'дестабилизации', ',', 'я', 'бы', 'сказал', ',', 'к', 'войне', 'во', 'внешнем', 'мире', ',', 'лет', 'через', '5-7', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Затем', 'премьер-министром', 'был', 'назначен', 'руководитель', 'одного', 'из', 'дивизионов', 'молочного', 'концерна', 'Олег', 'Макаров', ',', 'который', 'был', 'во', 'главе', 'чувашского', 'правительства', 'около', 'девяти', 'месяцев', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Основанием', 'для', 'такого', 'решения', 'Генпрокуратуры', 'послужило', 'присвоение', 'главному', 'столичному', 'следователю', 'звания', 'доцента', 'кафедры', 'уголовного', 'права', 'и', 'криминологии', 'Челябинского', 'госуниверситета', ',', 'которое', 'произошло', ',', 'по', 'данным', 'прокуратуры', ',', 'на', 'основании', 'подложных', 'документов', '.']","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['С', '2006г', '.']","[0, 0, 0]"
"['составил', '10,71', 'млрд', 'долл.', ',', 'уменьшившись', 'за', '9', 'месяцев', 'на', '3,1', '%', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['В', 'августе', '2012', 'года', 'Мурси', 'внес', 'изменения', 'в', 'Конституционную', 'декларацию', ',', 'отстраняющие', 'от', 'власти', 'Высший', 'военный', 'совет', ',', 'правивший', 'в', 'Египте', 'после', 'свержения', 'Мубарака', '.']","[0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 0, 0, 0, 1, 0, 0, 6, 0]"
"['Затем', 'вслед', 'за', 'Ю.Чайкой', ',', 'который', 'тогда', 'занимал', 'пост', 'заместителя', 'генпрокурора', ',', 'перешел', 'в', 'Минюст', ',', 'откуда', 'вернулся', 'в', 'Генпрокуратуру', 'в', '2006г', '.']","[0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0]"
"['Решение', 'гражданскими', 'демократами', 'было', 'найдено', 'быстро', 'и', 'единогласно', ',', 'точно', 'так', 'же', ',', 'как', 'и', 'получено', 'согласие', 'непосредственно', 'Мирославы', 'Немцовой', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 0]"
"['""', 'Уже', 'нужно', 'давать', 'дорогу', 'молодым', '.']","[0, 0, 0, 0, 0, 0, 0]"
"['Академик', 'не', 'исключил', ',', 'что', '""', 'за', 'три', 'дня', 'до', 'того', ',', 'как', 'нужно', 'будет', 'назначить', 'секретаря', ',', 'они', 'скажут', ':', 'ну', ',', 'смотри', ',', 'никого', 'не', 'нашли', ',', 'ты', 'еще', 'посиди', ""''"", '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Незадолго', 'до', 'своей', 'неудавшейся', 'отставки', 'он', 'говорил', '""', 'Ъ', ""''"", 'о', 'том', ',', 'что', 'собирается', 'проработать', 'в', 'компании', 'еще', 'год', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['По', 'мнению', 'вице-спикера', 'Госдумы', ',', 'секретаря', 'президиума', 'генсовета', 'партии', '""', 'Единая', 'Россия', ""''"", 'Сергея', 'Неверова', ',', 'назначение', 'В.Володина', 'на', 'пост', 'первого', 'заместителя', 'главы', 'администрации', 'президента', 'РФ', '-', 'взвешенное', ',', 'аргументированное', 'и', 'важное', '.']","[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 2, 0, 6, 5, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"['Каждому', 'по', 'контракту', 'должны', 'были', 'выплатить', 'по', '90', 'тысяч', 'долларов', ';', 'следователи', 'сочли', 'сумму', 'завышенной', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Кроме', 'того', ',', 'президент', 'освободил', 'от', 'должности', 'заместителя', 'начальника', 'оперативно-поискового', 'бюро', 'МВД', 'РФ', ',', 'генерал-майора', 'милиции', 'Юрия', 'Бородастова', ';', 'начальника', 'Уфимского', 'юридического', 'института', 'МВД', 'РФ', ',', 'генерал-майора', 'милиции', 'Фаима', 'Мухаметшина', ',', 'а', 'также', 'заместителя', 'начальника', 'инспекции', 'организационно-инспекторского', 'департамента', 'МВД', 'РФ', ',', 'генерал-майора', 'милиции', 'Леонида', 'Хейло', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 6, 5, 0, 0, 3, 2, 2, 3, 1, 0, 0, 0, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 6, 5, 0]"
"['В', 'октябре', '2011г', '.']","[0, 0, 0, 0]"
"['Глава', 'Fannie', 'Mae', 'готовится', 'покинуть', 'свой', 'пост', '.']","[0, 3, 2, 0, 0, 0, 0, 0]"
"['Указ', 'вступает', 'в', 'силу', 'со', 'дня', 'его', 'подписания', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Министр', 'экономики', 'покинет', 'команду', 'Д.Медведева', 'ради', 'поста', 'в', 'Кремле', 'Министр', 'экономического', 'развития', 'России', 'Андрей', 'Белоусов', 'покинет', 'правительство', 'Дмитрия', 'Медведева', ',', 'чтобы', 'занять', 'должность', 'помощника', 'президента', 'Владимира', 'Путина', '.']","[0, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 0, 1, 6, 5, 0, 0, 6, 5, 0, 0, 0, 0, 0, 0, 6, 5, 0]"
"['Политический', 'консультант', 'Анита', 'Данн', '(', 'Anita', 'Dunn', ')', 'I-PER', 'временно', 'сменит', 'Эллен', 'Моран', '(', 'Ellen', 'Moran', ')', 'I-PER', ',', 'которая', 'переходит', 'на', 'другую', 'правительственную', 'должность', ':', 'она', 'станет', 'руководителем', 'аппарата', 'министра', 'торговли', 'Гэри', 'Лока', '.']","[0, 0, 6, 5, 0, 5, 0, 0, 0, 0, 0, 6, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 0]"
"['С.Маккристал', 'пренебрежительно', 'отозвался', 'о', 'деятельности', 'американских', 'чиновников', 'в', 'интервью', ',', 'которое', 'должна', 'выйти', 'в', 'журнале', 'Rolling', 'Stone', 'в', 'пятницу', ',', '23', 'июня.В', 'интервью', 'он', 'подверг', 'резкой', 'критике', 'ряд', 'высокопоставленных', 'американских', 'чиновников', '.']","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Большинство', 'назначенных', '-', 'члены', 'президентской', 'Партии', 'регионов', '.']","[0, 0, 0, 0, 0, 3, 2, 0]"
"['Впрочем', ',', 'как', 'рассказал', '""', 'Ъ', ""''"", 'один', 'из', 'участников', 'той', 'встречи', ',', 'Россия', 'уступила', 'представителям', 'ближневосточного', 'региона', 'при', 'одном', 'условии', ':', 'генсеком', 'ФСЭГ', 'должен', 'стать', 'гражданин', 'РФ', '.']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0]"
"['В', 'течение', '60', 'дней', 'они', 'должны', 'утвердить', 'кандидатуры', 'еще', '42', 'представителей', 'общероссийских', 'общественных', 'объединений', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Д.Медведев', 'произвел', 'ряд', 'кадровых', 'перестановок', 'в', 'войсках', 'Центрального', 'военного', 'округа', 'РФ', '.']","[6, 0, 0, 0, 0, 0, 0, 1, 4, 4, 1, 0]"
"['и', 'проработал', 'в', 'ведомстве', 'в', 'течение', 'большего', 'срока', ',', 'чем', 'любой', 'другой', 'министр', 'финансов', 'современной', 'России', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['При', 'приближении', 'к', 'реке', 'Сутледж', 'самолет', 'упал', 'и', 'разбился', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"['Но', 'теперь', 'стало', ',', 'наконец', ',', 'очевидно', ',', 'что', 'дуэта', 'основателей', 'поисковика', 'более', 'не', 'существует', '-', 'есть', 'Пейдж', ',', 'который', 'и', 'возглавит', 'Google', 'в', 'апреле', ',', 'и', 'есть', 'Брин', ',', 'который', 'будет', 'заниматься', 'своим', 'любимым', ',', 'по', 'словам', 'Шмидта', ',', 'занятием', '-', 'инновациями', 'и', 'развитием', 'новых', 'проектов', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Согласно', 'подписанному', 'документу', ',', 'Х.Тачи', 'сохранял', 'за', 'собой', 'пост', 'премьер-министра', ',', 'а', 'Б.Паколли', 'получал', 'пост', 'президента', '.']","[0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0]"
"['Политологи', 'прокомментировали', 'отставку', 'самарского', 'губернатора', 'Артякова', '10/05/201212:31', 'МОСКВА', ',', '10', 'мая', '-', 'РИА', 'Новости', '.']","[0, 0, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 3, 2, 0]"
"['Поэтому', 'после', 'каждой', 'отставки', 'главы', 'Комитета', 'госбезопасности', 'там', 'проводилась', 'основательная', 'чистка', '.']","[0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0]"
